Code,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
A,0.3111111111111111,0.2215686274509804,0.2591549295774647,0.2123287671232876,0.225,0.2341463414634146,0.2255319148936169,0.2161290322580645,0.2346153846153846,0.2666666666666666,0.2185185185185185,0.211864406779661,0.3171428571428571,0.2181818181818181,0.2378378378378378,0.234313725490196,0.2257425742574257,0.2541666666666666,0.2185185185185185,0.2229508196721311,0.2481481481481482
B,0.7777777777777778,0.7215686274509804,0.7323943661971829,0.6410958904109588,0.6818181818181819,0.702439024390244,0.6999999999999998,0.7548387096774195,0.7153846153846154,0.0,0.7481481481481482,0.6677966101694914,0.7828571428571429,0.7363636363636363,0.6702702702702703,0.6960784313725489,0.7366336633663365,0.7250000000000001,0.7185185185185186,0.7442622950819671,0.7777777777777776
C,0.7333333333333334,0.6549019607843137,0.6901408450704224,0.6493150684931507,0.6818181818181819,0.6292682926829269,0.6680851063829786,0.6451612903225808,0.676923076923077,0.4,0.6592592592592594,0.6644067796610168,0.7771428571428572,0.6424242424242425,0.6216216216216217,0.6549019607843135,0.6950495049504949,0.6749999999999999,0.6296296296296298,0.6622950819672131,0.7037037037037037
D,0.7111111111111111,0.5568627450980392,0.6422535211267604,0.5561643835616438,0.5772727272727273,0.5463414634146342,0.5702127659574466,0.5741935483870969,0.6153846153846154,0.0,0.5925925925925927,0.5864406779661016,0.76,0.5666666666666667,0.5405405405405406,0.5627450980392156,0.586138613861386,0.6083333333333333,0.562962962962963,0.5672131147540984,0.6148148148148148
E,0.4444444444444444,0.2980392156862745,0.3774647887323943,0.3068493150684931,0.3272727272727273,0.3219512195121951,0.3148936170212765,0.2838709677419355,0.3076923076923077,0.0,0.2962962962962963,0.2983050847457627,0.4114285714285715,0.2909090909090909,0.3351351351351352,0.3254901960784313,0.3207920792079208,0.3666666666666667,0.2962962962962963,0.301639344262295,0.2962962962962963
F,0.2814814814814814,0.2627450980392157,0.2629107981220656,0.2474885844748858,0.2575757575757575,0.2552845528455284,0.2595744680851063,0.2623655913978494,0.2564102564102564,0.0,0.2617283950617284,0.2610169491525423,0.2723809523809525,0.2595959595959596,0.2486486486486487,0.2588235294117647,0.2666666666666666,0.2583333333333333,0.2518518518518518,0.2644808743169399,0.2740740740740741
G,0.3333333333333333,0.3568627450980392,0.2929577464788732,0.3150684931506849,0.3227272727272727,0.351219512195122,0.3361702127659575,0.3870967741935484,0.3538461538461538,0.0,0.3703703703703703,0.3661016949152542,0.3085714285714286,0.3757575757575758,0.3135135135135135,0.3196078431372549,0.3663366336633663,0.3,0.3703703703703703,0.3639344262295081,0.3999999999999999
H,0.6222222222222222,0.4705882352941176,0.5690140845070422,0.5369863013698629,0.5454545454545454,0.4780487804878048,0.5191489361702126,0.4387096774193549,0.5538461538461539,0.0,0.4740740740740741,0.5694915254237287,0.6857142857142858,0.4484848484848484,0.4864864864864865,0.5058823529411764,0.5267326732673266,0.5333333333333333,0.4444444444444445,0.4590163934426229,0.5333333333333333
I,0.0333333333333333,0.0352941176470588,0.0211267605633802,0.0205479452054794,0.0204545454545454,0.0292682926829268,0.0287234042553191,0.0387096774193548,0.023076923076923,0.0,0.0333333333333333,0.0203389830508474,0.0085714285714285,0.0363636363636363,0.0243243243243243,0.0294117647058823,0.0237623762376237,0.0249999999999999,0.0333333333333333,0.0344262295081967,0.0333333333333333
J,0.3333333333333333,0.3490196078431373,0.2647887323943662,0.2246575342465753,0.2272727272727273,0.351219512195122,0.2829787234042554,0.3870967741935484,0.2461538461538461,0.0,0.3703703703703703,0.2338983050847457,0.1851428571428572,0.3757575757575758,0.3135135135135135,0.296078431372549,0.2693069306930694,0.3,0.3703703703703703,0.3606557377049181,0.3185185185185186
K,0.0666866666666666,0.0706094117647058,0.0422661971830985,0.0411082191780821,0.0409213636363636,0.0585541463414634,0.0574640425531914,0.0774425806451612,0.0461676923076923,0.0,0.0666866666666666,0.0406901694915254,0.0171479999999999,0.0727490909090909,0.0486632432432432,0.0588411764705882,0.04753900990099,0.050015,0.0666866666666666,0.0688731147540983,0.0666866666666666
L,0.5333333333333334,0.5058823529411764,0.5267605633802817,0.4602739726027397,0.4863636363636364,0.4682926829268293,0.4872340425531914,0.567741935483871,0.5384615384615384,0.0,0.5185185185185186,0.4677966101694916,0.5885714285714286,0.5333333333333332,0.427027027027027,0.4843137254901961,0.4950495049504951,0.525,0.4888888888888889,0.5213114754098362,0.5925925925925927
M,0.3333333333333333,0.3490196078431373,0.2647887323943662,0.2246575342465753,0.2272727272727273,0.351219512195122,0.2829787234042554,0.3870967741935484,0.2461538461538461,0.0,0.3703703703703703,0.2338983050847457,0.1485714285714285,0.3757575757575758,0.3135135135135135,0.296078431372549,0.2693069306930694,0.3,0.3703703703703703,0.3606557377049181,0.3185185185185186
N,0.2814814814814814,0.269281045751634,0.2610328638497651,0.2502283105022831,0.2575757575757576,0.2601626016260162,0.2645390070921985,0.2666666666666667,0.258974358974359,0.0,0.2666666666666666,0.2666666666666667,0.2628571428571429,0.2646464646464646,0.2522522522522523,0.2633986928104574,0.2699669966996699,0.2555555555555555,0.2567901234567901,0.2688524590163934,0.2765432098765433
O,0.2222222222222222,0.2352941176470588,0.2169014084507042,0.2136986301369862,0.209090909090909,0.2097560975609756,0.2340425531914894,0.2580645161290322,0.2769230769230769,0.0,0.2518518518518518,0.264406779661017,0.2628571428571429,0.2424242424242424,0.1783783783783783,0.2176470588235294,0.2356435643564357,0.1999999999999999,0.2222222222222222,0.2295081967213114,0.3111111111111111
P,0.3333333333333333,0.3490196078431373,0.2647887323943662,0.2246575342465753,0.2272727272727273,0.351219512195122,0.2829787234042554,0.3870967741935484,0.2461538461538461,0.0,0.3703703703703703,0.2338983050847457,0.1485714285714285,0.3757575757575758,0.3135135135135135,0.296078431372549,0.2693069306930694,0.3,0.3703703703703703,0.3606557377049181,0.3185185185185186
Q,0.1407407407407407,0.1477124183006536,0.1295774647887324,0.1187214611872146,0.1181818181818181,0.1430894308943089,0.1340425531914893,0.1634408602150537,0.1435897435897435,0.0,0.1629629629629629,0.1322033898305084,0.1257142857142857,0.1575757575757576,0.1261261261261261,0.1300653594771242,0.1346534653465346,0.1333333333333333,0.1530864197530864,0.1508196721311475,0.1654320987654321
R,0.0666666666666666,0.0705882352941176,0.0422535211267605,0.0410958904109589,0.0409090909090909,0.0585365853658536,0.0574468085106382,0.0774193548387096,0.0461538461538461,0.0,0.0666666666666666,0.0406779661016949,0.0171428571428571,0.0727272727272727,0.0486486486486486,0.0588235294117647,0.0475247524752475,0.0499999999999999,0.0666666666666666,0.0688524590163934,0.0666666666666666
S,0.4444444444444444,0.4901960784313725,0.4028169014084508,0.3698630136986301,0.3818181818181819,0.4634146341463415,0.4404255319148935,0.535483870967742,0.4461538461538462,0.0,0.5333333333333334,0.4203389830508475,0.3828571428571429,0.5151515151515151,0.4108108108108109,0.4274509803921567,0.4554455445544553,0.4166666666666667,0.5037037037037038,0.5049180327868853,0.5407407407407407
T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
